GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Test data generator,com.presidentio.testdatagenerator.output,AbstractEsSink,29,66,3,3,5,17,3,4,0,4
Test data generator,com.presidentio.testdatagenerator.output,SinkFactory,23,33,3,3,5,10,3,4,0,2
Test data generator,com.presidentio.testdatagenerator.output,SqlDirectSink,0,17,0,0,0,6,0,2,0,2
Test data generator,com.presidentio.testdatagenerator.output,EsDirectSink,0,17,0,0,0,6,0,2,0,2
Test data generator,com.presidentio.testdatagenerator.output,AbstractJdbcSink,39,49,3,3,10,19,3,5,0,5
Test data generator,com.presidentio.testdatagenerator.output,AbstractBufferedSink,15,156,4,14,6,38,6,12,2,7
Test data generator,com.presidentio.testdatagenerator.output,KafkaSink,65,0,2,0,16,0,5,0,4,0
Test data generator,com.presidentio.testdatagenerator.output,FileSink,44,125,8,8,8,30,7,9,0,7
Test data generator,com.presidentio.testdatagenerator.output,ConsoleSink,30,0,2,0,7,0,5,0,4,0
Test data generator,com.presidentio.testdatagenerator.benchmark,ConstBenchmark,49,0,0,0,11,0,3,0,3,0
Test data generator,com.presidentio.testdatagenerator.benchmark,ExpressionBenchmark,63,0,0,0,14,0,3,0,3,0
Test data generator,com.presidentio.testdatagenerator.benchmark,RandomBenchmark,38,0,0,0,8,0,3,0,3,0
Test data generator,com.presidentio.testdatagenerator.benchmark,ParentBenchmark,70,0,0,0,11,0,3,0,3,0
Test data generator,com.presidentio.testdatagenerator.benchmark,ExpressionProxyBenchmark,181,0,0,0,36,0,5,0,5,0
Test data generator,com.presidentio.testdatagenerator.benchmark,EsFileBenchmark,39,0,2,0,9,0,3,0,2,0
Test data generator,com.presidentio.testdatagenerator.benchmark,CounterBenchmark,56,0,0,0,12,0,3,0,3,0
